course_id,course_code,course_title,course_grade,course_credits,course_points,course_gpa,comments,CGPA
23,CMPS314,ALGORITHMS,B,3.00,9.00,3.00,,3.26
45,CMPS316,PROGRAMMING LANGUAGES,C+,3.00,7.50,2.50,,3.26
67,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B,3.00,9.00,3.00,,3.26
89,MATH480,LINEAR PROGRAMMING.,B+,3.00,10.50,3.50,,3.26
111,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,C+,3.00,7.50,2.50,,3.26
133,ENGL318,TECHNICAL WRITING.,C+,3.00,7.50,2.50,,3.26
155,MATH330,DISCRETE MATHEMATHICS,C,3.00,6.00,2.00,,3.26
177,CMPS414,NETWORKING II,A-,3.00,11.25,3.75,,3.26
199,CMPS418,LINUX ADMINISTRATION,A-,3.00,11.25,3.75,,3.26
221,CMPS429,SENIOR INTERNSHIP,A,12.00,48.00,4.00,,3.26
243,CMPS324,SOFTWARE ENGINEERING,B+,3.00,10.50,3.50,,3.26
265,MATH441,NUMERICAL ANALYSIS,B,3.00,9.00,3.00,,3.26
287,CMPS328,DATABASE MGMT. SYS. II,A-,3.00,11.25,3.75,,3.26
309,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,B,3.00,9.00,3.00,,3.26
331,CMPS328,DATABASE MGMT. SYS. II,F,3.00,0.00,0.00,REPEAT,3.26
353,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.26
375,PHYS241,GENERAL PHYSICS I,C,3.00,6.00,2.00,,3.26
397,CMPS416,COMPILER CONSTRUCTION,B+,3.00,10.50,3.50,,3.26
419,CMPS248,SOFTWARE IN SOCIETY,B,3.00,9.00,3.00,,3.32
441,HIST201,BELIZEAN HISTORY,B,3.00,9.00,3.00,,3.32
463,CMPS155,COMPUTER TECHNOLOGY,B,3.00,9.00,3.00,,3.32
485,MATH210,DIFFERENTIAL CALCULUS,A-,4.00,15.00,3.75,,3.32
507,CMPS260,PROJECT,C+,3.00,7.50,2.50,,3.32
529,CMPS314,ALGORITHMS,B,3.00,9.00,3.00,,3.32
551,MATH330,DISCRETE MATHEMATHICS,B,3.00,9.00,3.00,,3.32
573,CMPS414,NETWORKING II,A,3.00,12.00,4.00,,3.32
595,GSTU101,STUDY SKILLS,A-,1.00,3.75,3.75,,3.32
617,CMPS246,COMPUTER ARCHITECTURE,B,3.00,9.00,3.00,,3.32
639,ENGL318,TECHNICAL WRITING.,B,3.00,9.00,3.00,,3.32
661,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.32
683,CMPS145,INTRODUCTION TO COMPUTER SYSTEMS,B,3.00,9.00,3.00,,3.32
705,CMPS146,PROGRAMMING FOUNDATIONS,B+,4.00,14.00,3.50,,3.32
727,CMPS247,COMPUTER NETWORKING I,A,3.00,12.00,4.00,,3.32
749,CMPS324,SOFTWARE ENGINEERING,B,3.00,9.00,3.00,,3.32
771,CMPS328,DATABASE MGMT. SYS. II,B+,3.00,10.50,3.50,,3.32
793,MATH441,NUMERICAL ANALYSIS,A-,3.00,11.25,3.75,,3.32
815,MATH480,LINEAR PROGRAMMING.,A,3.00,12.00,4.00,,3.32
837,CMPS429,SENIOR INTERNSHIP,B,12.00,36.00,3.00,,3.32
859,SPAN111,SPANISH 1,A-,3.00,11.25,3.75,,3.32
881,CMPS156,DATA STRUCTURES,A-,3.00,11.25,3.75,,3.32
903,CMPS256,OPERATING SYSTEMS,B,3.00,9.00,3.00,,3.32
925,CMPS255,OBJECT ORIENTED SYSTEM DEV.,B+,4.00,14.00,3.50,,3.32
947,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,B,3.00,9.00,3.00,,3.32
969,CMPS144,PRINCIPLES OF PROGRAMMING II,B+,3.00,10.50,3.50,,3.32
991,MATH124,TRIGONOMETRY,A-,3.00,11.25,3.75,,3.32
