semester_id,student_id,semester,credits_attempted,credits_earned,semester_points,semester_gpa
1,1,2004-1,3.00,3.00,9.00,2.50
2,4,2004-1,3.00,3.00,7.50,2.50
3,89,2004-2,3.00,3.00,9.00,3.10
4,113,2005-1,3.00,3.00,10.50,3.50
5,551,2004-1,3.00,3.00,7.50,2.50
6,639,2004-1,3.00,3.00,7.50,2.50
7,653,2004-1,3.00,3.00,6.00,2.50
8,749,2005-1,3.00,3.00,11.25,3.50
9,1217,2005-1,3.00,3.00,11.25,3.50
10,1303,2005-2,12.00,12.00,48.00,3.95
11,1353,2004-2,3.00,3.00,10.50,3.10
12,1652,2005-1,3.00,3.00,9.00,3.50
13,2030,2005-2,3.00,3.00,11.25,3.95
14,2077,2004-2,3.00,3.00,9.00,3.10
15,2158,2004-2,3.00,3.00,0.00,3.10
16,2515,2004-2,3.00,3.00,12.00,3.10
17,2694,2004-2,3.00,3.00,6.00,3.10
18,2788,2005-1,3.00,3.00,10.50,3.50
19,2792,2002-1,3.00,3.00,9.00,3.29
20,3136,2002-1,3.00,3.00,9.00,3.29
21,3301,2002-2,3.00,3.00,9.00,3.50
22,3573,2003-1,4.00,4.00,15.00,3.61
23,3593,2003-2,3.00,3.00,7.50,3.04
24,3641,2004-1,3.00,3.00,9.00,2.90
25,3845,2004-1,3.00,3.00,9.00,2.90
26,3864,2005-1,3.00,3.00,12.00,3.65
27,3874,2002-1,1.00,1.00,3.75,3.29
28,3880,2003-1,3.00,3.00,9.00,3.61
29,4258,2004-1,3.00,3.00,9.00,2.90
30,4369,2004-2,3.00,3.00,12.00,3.40
31,4395,2002-1,3.00,3.00,9.00,3.29
32,4396,2002-1,4.00,4.00,14.00,3.29
33,4407,2003-1,3.00,3.00,12.00,3.61
34,4446,2004-2,3.00,3.00,9.00,3.40
35,4484,2004-2,3.00,3.00,10.50,3.40
36,4508,2005-1,3.00,3.00,11.25,3.65
37,4518,2005-1,3.00,3.00,12.00,3.65
38,4538,2005-2,12.00,12.00,36.00,3.00
39,4566,2002-1,3.00,3.00,11.25,3.29
40,4584,2003-1,3.00,3.00,11.25,3.61
41,4602,2003-2,3.00,3.00,9.00,3.04
42,4639,2003-2,4.00,4.00,14.00,3.04
43,4672,2004-2,3.00,3.00,9.00,3.40
44,4699,2002-2,3.00,3.00,10.50,3.50
45,4706,2002-2,3.00,3.00,11.25,3.50
46,4716,2003-1,3.00,3.00,10.50,3.61
47,4751,2004-1,3.00,3.00,9.00,2.90
