student_id,feeder_id,DOB,gender,ethnicity,city,district,program_start,programEnd,program_status,grade_date
1,12,3/20/1983,F,Creole,BELIZE CITY,BELIZE,8/16/2004,5/19/2006,Graduated,6/11/2006
4,12,12/27/1980,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/19/2002,5/19/2006,Graduated,6/11/2006
89,13,10/30/1981,F,tw,ORANGE WALK TOWN,ORANGE WALK,8/19/2002,5/19/2006,Graduated,6/11/2006
113,13,5/31/1976,M,Mestizo,BELMOPAN CITY,CAYO,8/18/2008,,Terminated,
551,13,08/04/1981,M,Unknown,CAYO,BELIZE,8/14/2002,,Dropped,
639,30,01/03/1983,M,Unknown,CAYO,BELIZE,3/17/2005,,Dropped,
653,13,7/26/1978,M,Creole,HATTIEVILLE VILLAGE,BELIZE,8/3/2012,,Terminated,
749,13,1/27/1981,M,Oriental,,,8/18/2003,5/30/2005,Graduated,6/18/2005
1217,10,6/21/1983,M,Garifuna,DANGRIGA TOWN,STANN CREEK,1/16/2006,12/14/2007,Graduated,12/14/2007
1303,13,10/21/1983,M,Mestizo,BULLET TREE FALLS,CAYO,8/18/2003,5/30/2005,Graduated,6/18/2005
1353,30,1/22/1984,M,Mestizo,BELMOPAN CITY,CAYO,1/20/2014,,Terminated,
1652,51,1/22/1984,F,Mestizo,CAYO,BELIZE,8/14/2006,12/22/2008,Graduated,12/22/2008
2030,11,3/25/1983,M,Other,SAN PEDRO,BELIZE,8/18/2003,5/30/2005,Graduated,6/18/2005
2077,22,5/30/1980,F,Mestizo,BELMOPAN CITY,CAYO,8/16/2004,5/19/2006,Graduated,6/11/2006
2158,25,4/29/1981,M,Mestizo,BULLET TREE FALLS,CAYO,8/17/2009,,Terminated,
2515,10,04/12/1982,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/20/2001,,Dropped,
2694,11,08/03/1980,M,Mestizo,CAYO,BELIZE,8/16/2004,5/19/2006,Graduated,6/11/2006
2788,13,6/23/1981,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/20/2001,5/30/2005,Graduated,6/18/2005
2792,,4/13/1963,,,,,,,,
3136,13,1/16/1981,M,East Indian,-,TOLEDO,8/20/2001,5/30/2005,Graduated,6/18/2005
3301,10,05/01/1981,F,Other,CAYO,CAYO,8/16/2004,12/10/2012,Graduated,1/26/2013
3573,79,3/26/1974,M,Creole,BELIZE CITY,BELIZE,5/18/2010,,Terminated,
3593,30,07/05/1979,M,Mestizo,CAYO,CAYO,8/12/2013,,Terminated,
3641,10,09/10/1982,F,Other,SAN IGNACIO,CAYO,8/20/2001,,Dropped,
3845,13,7/22/1982,F,Other,PUNTA GORDA,TOLEDO,8/20/2001,5/30/2005,Graduated,6/18/2005
3864,33,10/29/1982,F,Creole,PUNTA GORDA,TOLEDO,8/20/2001,12/11/2004,Graduated,12/11/2004
3874,79,01/10/1980,M,Garifuna,DANGRIGA TOWN,STANN CREEK,8/20/2001,,Dropped,
3880,13,12/08/1971,F,Other,BELIZE CITY,BELIZE,8/20/2001,,Dropped,
4258,10,05/08/1983,F,Other,CAYE CAULKER,BELIZE,8/20/2001,,Dropped,
4369,10,3/23/1977,M,Mestizo,SAN NARCISO VILLAGE,COROZAL,8/20/2001,5/30/2005,Graduated,6/18/2005
4395,13,7/28/1983,M,Garifuna,BELMOPAN CITY,CAYO,8/1/2022,,In Process,
4396,13,8/21/1981,F,Oriental,BELMOPAN CITY,CAYO,8/18/2003,5/30/2005,Graduated,6/18/2005
4407,13,10/29/1976,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/19/2002,5/30/2005,Graduated,6/18/2005
4446,79,11/21/1983,F,East Indian,-,CAYO,8/1/2018,,Terminated,
4484,13,5/19/1983,F,East Indian,BELMOPAN CITY,CAYO,5/17/2010,,Terminated,
4508,13,5/19/1983,F,East Indian,BELMOPAN CITY,CAYO,1/1/2019,,Terminated,
4518,79,10/19/1980,F,Creole,BELMOPAN CITY,CAYO,8/18/2003,5/18/2007,Graduated,6/9/2007
4538,13,10/25/1974,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/17/2009,7/22/2011,Graduated,1/28/2012
4566,58,3/24/1984,M,Mayan,ROARING CREEK VILLAGE,CAYO,8/20/2003,5/19/2006,Graduated,6/11/2006
4584,7,1/26/1981,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/28/2000,5/10/2002,Graduated,6/2/2002
4602,13,02/02/1984,M,Other,BENQUE VIEJO DEL CARMEN,CAYO,8/19/2002,5/27/2004,Graduated,6/13/2004
4639,30,10/04/1981,M,Oriental,BELMOPAN CITY,CAYO,8/28/2000,5/10/2002,Graduated,6/2/2002
4672,30,06/08/1981,M,Mestizo,STANN CREEK,STANN CREEK,8/18/2003,5/30/2005,Graduated,6/18/2005
4699,27,11/16/1973,M,Creole,BELMOPAN CITY,CAYO,8/14/2006,,Dropped,
4706,22,2/24/1982,M,Mestizo,BELMOPAN CITY,CAYO,5/30/2011,,Terminated,
4716,13,12/14/1979,M,Creole,BELMOPAN CITY,CAYO,8/23/2000,5/10/2003,Graduated,6/8/2003
4751,13,6/20/1981,M,Other,CAYO,CAYO,8/15/2002,,Dropped,
4758,20,07/09/1970,F,Other,BELMOPAN CITY,CAYO,8/20/2001,5/27/2004,Graduated,6/13/2004
4788,36,12/10/1981,M,Oriental,BELMOPAN CITY,CAYO,8/18/2003,5/30/2005,Graduated,6/18/2005
4798,10,1/22/1981,M,Creole,BELIZE CITY,BELIZE,1/17/2005,,Dropped,
4818,12,1/22/1981,M,Creole,BELIZE CITY,BELIZE,8/15/2011,12/10/2012,Graduated,1/26/2013
4829,20,01/02/1981,M,Other,BELIZE CITY,BELIZE,6/15/2004,,Dropped,
